uid,source_id,domain,text,original_labels,article_group,bootstrap_label,bootstrap_confidence,created_at,synthetic,final_label
syn_non_compliant_70df317f,333,pinterest.com,We also make this public information available,Data Recipients,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.457943,True,non_compliant
boot_0791_7d5036,6406,points.com,automated decision-making,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.307675,False,ambiguous
boot_1185_ca3712,7229,infoworld.com,"for more information, please contact idgc’s data protection officer (see contact details below).",DPO Contact,Controller and Processor (24-43),compliant,0.9,2025-11-03T00:49:29.310639,False,compliant
syn_non_compliant_3286f4f9,5045,nike.com,From other NIKE Interactions and Third Parties We may share your personal data with partners without limitation.,Source of Data,Other / Unmapped,ambiguous,0.0,2025-11-03T00:55:52.459649,True,non_compliant
boot_0470_dd058d,6426,userstyles.org,"in addition, you may have the right to   lodge a complaint with a supervisory authority, subject to applicable   law (as is the case in the european union).",Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.7,2025-11-03T00:49:29.305000,False,ambiguous
syn_non_compliant_e267f3d5,9599,makemytrip.com,how long do we keep your personal information?,Storage Period,Other / Unmapped,ambiguous,0.0,2025-11-03T00:55:52.462313,True,non_compliant
syn_non_compliant_3637b906,130,capitalone.com,Capital One maintains customer authentication procedures to protect your personal information and account from identity theft We may share your personal data with partners without limitation.,Safeguards Copy,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.459598,True,non_compliant
syn_non_compliant_979a17ae,844,ranker.com,"we need to collect the following information, without which you will not be able to use our Paid Services: We may share your personal data with partners without limitation.",Data Categories,Principles (5-11),ambiguous,0.0,2025-11-03T00:55:52.468007,True,non_compliant
syn_non_compliant_3d02eb4e,56,definition.org,"At Our Site You can be assured that Your Personally Identifiable Information is secure, consistent with current industry standards.",Safeguards Copy,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.466714,True,non_compliant
boot_0792_bde3d3,36,quizlet.com,"Preventing fraud, crime and abuse and the security and integrity of the Service.",Safeguards Copy,Transfers (44-50),ambiguous,0.4,2025-11-03T00:49:29.307681,False,ambiguous
boot_0891_3b5108,6771,skyscanner.com,"however, we are careful to ensure that our activities do not involve undertaking any profiling or automated decision making that might have any legal or other significant effects on you.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.308404,False,ambiguous
boot_1166_e0e9b5,3382,msn.com,"If you have any questions about this Privacy Policy or our privacy practices, please e-mail us at privacypolicy@enthusiastnetwork.com Please include the URL of the website and/or name of the publication involved in your request.",Controller Contact,Controller and Processor (24-43),ambiguous,0.4,2025-11-03T00:49:29.310489,False,ambiguous
syn_non_compliant_f0702225,5132,stackoverflow.com,"we collect your name, location, email and resume (where applicable) along with certain optional information including your phone number and a cover letter (where applicable) We may share your personal data with partners without limitation.",Data Categories,Principles (5-11),ambiguous,0.0,2025-11-03T00:55:52.466557,True,non_compliant
syn_compliant_1bb67908,443,kbb.com,Our Service Providers We will retain this data for 3 years. For requests contact privacy@example.com.,Data Recipients,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.436673,True,compliant
syn_compliant_2c20b791,6469,the-e-tailer.com,the right to lodge a complaint with a supervisory authority; We will retain this data for 3 years. For requests contact privacy@example.com.,Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.0,2025-11-03T00:55:52.434587,True,compliant
boot_0641_eb7a0a,4675,state.gov,Information is retained in accordance with the records retention and disposition schedule established for the records of the program unit to which you submitted the information.,Storage Period,Principles (5-11),ambiguous,0.4,2025-11-03T00:49:29.306604,False,ambiguous
boot_0314_f7ffcd,7188,ubisoft.com,"for any data processing activity requiring your consent (cookies, behavioral advertising…etc), you may withdraw your consent at any time.",Withdraw Consent,Rights of the Data Subject (12-23),ambiguous,0.7,2025-11-03T00:49:29.303689,False,ambiguous
syn_compliant_1080a626,8077,uptobox.com,we will take appropriate steps to ensure that transfers of personal information are in accordance with applicable law and carefully managed to protect your privacy rights and interests and transfers are limited to countries which are recognised as providing an adequate level of legal protection or where we can be satisfied that alternative arrangement are in place to protect your privacy rights We will retain this data for 3 years. For requests contact privacy@example.com.,Adequacy Decision,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.428306,True,compliant
boot_0432_994d78,7579,moo.com,"we will only keep your personal data for as long as necessary to fulfil the purposes we collected it for, including for the purposes of satisfying any legal, accounting, or reporting requirements.",Storage Period,Other / Unmapped,ambiguous,0.7,2025-11-03T00:49:29.304679,False,ambiguous
boot_0666_95b641,10336,midwayusa.com,"""Aggregate information"" is information about the use of the Site, or general demographics that cannot be associated with an identifiable person.",Data Categories,Principles (5-11),ambiguous,0.4,2025-11-03T00:49:29.306827,False,ambiguous
boot_0918_db1172,8291,colourpop.com,our use of automated decision-making and profiling,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.308572,False,ambiguous
syn_non_compliant_c3de4a35,1610,eonline.com,There are certain circumstances in which we may share your Personal Information or other information with third parties,Data Recipients,Controller and Processor (24-43),non_compliant,0.0,2025-11-03T00:55:52.468594,True,non_compliant
syn_non_compliant_623332f4,6667,ncl.com,receive your personal data in a usable electronic format and transmit it to a third party (right to data portability) We may share your personal data with partners without limitation.,Right to Portability,Rights of the Data Subject (12-23),ambiguous,0.0,2025-11-03T00:55:52.461885,True,non_compliant
boot_0605_7d3127,9583,vox.com,you also have the right to lodge a complaint with a supervisory authority.,Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.4,2025-11-03T00:49:29.306040,False,ambiguous
syn_non_compliant_9b4cc53b,4889,booking.com,Personal data we collect automatically.,Source of Data,Other / Unmapped,ambiguous,0.0,2025-11-03T00:55:52.466490,True,non_compliant
boot_1044_dbd05b,7542,ghin.com,existence of automated decision-making,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.309537,False,ambiguous
syn_non_compliant_c89855df,5870,jsonline.com,"but if you decline to supply or provide us with certain information while using our services, you may not be able to use or participate in some or all of the features offered through our services.",Provision Requirement,Other / Unmapped,ambiguous,0.0,2025-11-03T00:55:52.469483,True,non_compliant
boot_0162_69156d,5835,prodigygame.com,the websites may include automated decision making in the form of behavioral advertising.,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.7,2025-11-03T00:49:29.302687,False,ambiguous
boot_0272_33264a,7776,tennessee.edu,the right to lodge a complaint with a supervisory authority (established in the eu);,Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.4,2025-11-03T00:49:29.303417,False,ambiguous
boot_1063_893524,5843,pcgamer.com,"in case the applicable data protection laws provide so, you have the right to access, rectify and erase the personal data we hold about you and to restrict or object to our processing of your personal data.",Right to Object,Rights of the Data Subject (12-23),ambiguous,0.4,2025-11-03T00:49:29.309710,False,ambiguous
boot_0553_972c0c,2687,gfycat.com,"Gfycat may also use your Personal Information and other personally non-identifiable information collected through the Services to help us improve the content and functionality of the Services, to better understand our users and to improve the Services.",Processing Purpose,Principles (5-11),ambiguous,0.7,2025-11-03T00:49:29.305549,False,ambiguous
boot_0222_259c57,1819,pinterest.com,"We also get information about you and your activity outside Pinterest from our affiliates, advertisers, partners and other third parties we work with, or other publicly available sources.",Source of Data,Other / Unmapped,ambiguous,0.4,2025-11-03T00:49:29.303095,False,ambiguous
syn_compliant_e1143828,8697,start.me,please contact our privacy officer at privacy@start.ca if you have any questions about this privacy policy We will retain this data for 3 years.,DPO Contact,Controller and Processor (24-43),compliant,0.0,2025-11-03T00:55:52.436106,True,compliant
boot_0846_1a391a,6948,dropbox.com,"dropbox collects and processes your personal information using automated decision-making (including “machine learning”) to provide, improve, and market the dropbox services in furtherance of its legitimate interests or based on your consent when appropriate:",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.308083,False,ambiguous
boot_0655_e505fa,1843,xfinity.com,when all users visit or use the,Source of Data,Other / Unmapped,ambiguous,0.4,2025-11-03T00:49:29.306745,False,ambiguous
syn_non_compliant_3f3dacdc,391,yelp.com,We may allow third parties to use Cookies through the Service to collect the same type of information for the same purposes as we do We may share your personal data with partners without limitation.,Data Recipients,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.459568,True,non_compliant
boot_0074_97adb4,8161,replacements.com,we keep personal data for as long as required to fulfil the purposes for which it was collected.,Storage Period,Other / Unmapped,ambiguous,0.4,2025-11-03T00:49:29.302064,False,ambiguous
boot_0888_ee3c1b,7201,mystartab.com,"note that once you opt out, part of the service provided by us might no longer be available and some features may not work if you revoke the data transfer.",Provision Requirement,Transfers (44-50),ambiguous,0.7,2025-11-03T00:49:29.308383,False,ambiguous
boot_0969_46c9e5,7362,formula1.com,"however, we do inform you that you will not be able to use the websites including its functionalities as intended.",Provision Requirement,Other / Unmapped,ambiguous,0.4,2025-11-03T00:49:29.308901,False,ambiguous
syn_compliant_6dc8f7ed,4675,state.gov,Information is retained in accordance with the records retention and disposition schedule established for the records of the program unit to which you submitted the information We will retain this data for 3 years. For requests contact privacy@example.com.,Storage Period,Principles (5-11),ambiguous,0.0,2025-11-03T00:55:52.424563,True,compliant
boot_0174_875458,5349,jcpenney.com,"Where OpenX processes personal data of EEA individuals as a data controller, such individuals: (i) may have the right to request access to and rectification or erasure of personal information (ii) may restrict the processing of personal information, object to processing, and/or exercise the right of data portability and (iii) may have certain rights to withdraw consent without affecting the lawfulness of processing and the right to lodge a complaint with a supervisory authority.","Right to Access, Right to Restrict, Right to Object, Right to Portability, Withdraw Consent, Lodge Complaint",Rights of the Data Subject (12-23),compliant,0.9,2025-11-03T00:49:29.302759,False,compliant
boot_0638_409d8a,6344,pgatourlive.com,your rights in relation to automated decision-making and profiling.,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.306582,False,ambiguous
boot_0927_395c17,130,capitalone.com,Capital One maintains customer authentication procedures to protect your personal information and account from identity theft.,Safeguards Copy,Transfers (44-50),ambiguous,0.4,2025-11-03T00:49:29.308636,False,ambiguous
boot_0770_66b45b,7576,moo.com,"rights in relation to automated decision making and profiling – that’s a right you have for us to be transparent about any profiling we do, or any automated decision making.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.307537,False,ambiguous
boot_1157_e978e9,6475,callername.com,"if you become aware that a such a person has provided us with personal data, please contact us at privacy.officer@calero.com .",DPO Contact,Controller and Processor (24-43),compliant,0.9,2025-11-03T00:49:29.310409,False,compliant
boot_0336_73400f,6292,topgolf.com,"we provide other information in this privacy   policy about: (i) the legal basis for our collection and processing of personal information; (ii) the consequences   for not providing personal information; (iii) automated decision-making; (iv)   do-not-track (""dnt"") signals; (v) data retention; and (vi) links to   third party websites.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.303828,False,ambiguous
syn_compliant_312bc88c,7691,usenet.nl,(8) the existence of an automated decision-making including profiling according to sections 22 para We will retain this data for 3 years. For requests contact privacy@example.com.,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.423994,True,compliant
syn_compliant_2e7e00dc,10287,stubhub.com,"We may use such information and pool it with other information to track, for example, the total number of visitors to our Site, the number of visitors to each page of our Site, and the domain names of our visitors' Internet service providers We will retain this data for 3 years. For requests contact privacy@example.com.",Processing Purpose,Principles (5-11),ambiguous,0.0,2025-11-03T00:55:52.427488,True,compliant
boot_0690_854d9f,4166,uproxx.com,"Google may also transfer this information to third parties if required by law, or so far as third parties process this information on Google's behalf.",Data Recipients,Controller and Processor (24-43),ambiguous,0.7,2025-11-03T00:49:29.307023,False,ambiguous
syn_non_compliant_001e85c5,2491,usbank.com,"For our everyday business purposesâ such as to process your transactions, maintain your account(s), respond to court orders and legal investigations, or report to credit bureaus We may share your personal data with partners without limitation.",Processing Purpose,Principles (5-11),ambiguous,0.0,2025-11-03T00:55:52.464484,True,non_compliant
syn_non_compliant_a81174a3,7078,belmarrahealth.com,we retain personal information regarding you or your use of the services for as long as your account subscribed to our services or for as long as needed to provide you or our services and warranties We may share your personal data with partners without limitation.,Storage Period,Principles (5-11),ambiguous,0.0,2025-11-03T00:55:52.462584,True,non_compliant
boot_0664_eb5b29,8929,xpressbet.com,"you may withdraw your consent at any time, subject to legal or contractual restrictions and reasonable notice.",Withdraw Consent,Rights of the Data Subject (12-23),ambiguous,0.7,2025-11-03T00:49:29.306813,False,ambiguous
syn_non_compliant_9e61bc2f,5662,bluenile.com,"when your personal information is transferred to (or accessed from) other countries outside the eea for which the european commission has not issued an adequacy decision, we will implement appropriate safeguards to ensure that your personal information remains protected We may share your personal data with partners without limitation.",Adequacy Decision,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.459272,True,non_compliant
boot_0589_cbf41d,6101,gamecrate.com,"however, we do inform you that you will not be able to use the websites including its functionalities as intended.",Provision Requirement,Other / Unmapped,ambiguous,0.4,2025-11-03T00:49:29.305894,False,ambiguous
boot_0581_9d798d,7778,tennessee.edu,"the right to access personal data, rectify incorrect personal data, erase personal data, restrict or object to processing, and the right to data portability;",Right to Portability,Rights of the Data Subject (12-23),ambiguous,0.4,2025-11-03T00:49:29.305824,False,ambiguous
boot_0810_6a4e34,1796,glassdoor.com,"When you fill out registration forms, submit your resume, or provide us with other personal information actively",Source of Data,Other / Unmapped,ambiguous,0.4,2025-11-03T00:49:29.307833,False,ambiguous
syn_non_compliant_d8f870b3,9164,wordhippo.com,14 - automated decision-making and profiling We may share your personal data with partners without limitation.,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.437739,True,non_compliant
boot_0517_d5a918,8438,sleepopolis.com,* we may transfer your personal data to countries that the european commission have approved as providing an adequate level of protection for personal data by; or,Adequacy Decision,Transfers (44-50),ambiguous,0.7,2025-11-03T00:49:29.305313,False,ambiguous
boot_0072_f20a9d,5147,stackoverflow.com,Secure your Personal Data and Information,Processing Purpose,Principles (5-11),ambiguous,0.4,2025-11-03T00:49:29.302052,False,ambiguous
boot_0508_078804,9184,fastfoodmenuprices.com,"every user of fastfoodmenuprices.com has a variety of rights relating to the use of their data while using fastfoodmenuprices.com, including the right to lodge a complaint with a supervisory authority.",Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.4,2025-11-03T00:49:29.305253,False,ambiguous
syn_compliant_8ffb8e48,3772,sfgate.com,you may be able to request that third parties do not use your We will retain this data for 3 years. For requests contact privacy@example.com.,Right to Restrict,Rights of the Data Subject (12-23),ambiguous,0.0,2025-11-03T00:55:52.431781,True,compliant
boot_0541_0e8316,69,ranker.com,"service providers may help us: (i) conduct background or police checks, fraud prevention, and risk assessment, (ii) allow the provision of the Services through third party platforms and software tools",Safeguards Copy,Transfers (44-50),ambiguous,0.7,2025-11-03T00:49:29.305474,False,ambiguous
boot_0544_979013,4860,homedepot.com,"While we use industry standard means to protect our websites and your information,",Safeguards Copy,Transfers (44-50),ambiguous,0.4,2025-11-03T00:49:29.305494,False,ambiguous
syn_compliant_dff6e96b,8279,conciergo.com,5.13 automated profiling & decision making We will retain this data for 3 years. For requests contact privacy@example.com.,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.421799,True,compliant
syn_compliant_5cebeb6c,8105,imvu.com,you have a right to lodge a complaint with a supervisory authority We will retain this data for 3 years. For requests contact privacy@example.com.,Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.0,2025-11-03T00:55:52.433868,True,compliant
boot_0904_ca28d3,5662,bluenile.com,"when your personal information is transferred to (or accessed from) other countries outside the eea for which the european commission has not issued an adequacy decision, we will implement appropriate safeguards to ensure that your personal information remains protected.",Adequacy Decision,Transfers (44-50),ambiguous,0.4,2025-11-03T00:49:29.308483,False,ambiguous
syn_compliant_18500e36,3165,kbb.com,give you the ability to opt-out of this use of your information We will retain this data for 3 years. For requests contact privacy@example.com.,Right to Restrict,Rights of the Data Subject (12-23),ambiguous,0.0,2025-11-03T00:55:52.428193,True,compliant
syn_non_compliant_f15cba54,3410,ranker.com,You may exercise any of the rights described in this section by sending an email toc [contact removed].,Controller Contact,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.462192,True,non_compliant
boot_0263_bbd4b1,8874,hometailer.com,"you have the right to receive the personal data concerning you, which you have provided to tictail, in a structured, commonly used and machine-readable format and have the right to transmit those data to another data controller without hindrance from tictail where the processing is based on consent or on a contract or the processing is carried out by automated means.",Right to Portability,Rights of the Data Subject (12-23),ambiguous,0.4,2025-11-03T00:49:29.303361,False,ambiguous
syn_non_compliant_8b639830,1767,zillow.com,your computer communicates a variety of information to computer servers We may share your personal data with partners without limitation.,Source of Data,Other / Unmapped,ambiguous,0.0,2025-11-03T00:55:52.459077,True,non_compliant
syn_non_compliant_f6cc89fb,6344,pgatourlive.com,your rights in relation to automated decision-making and profiling We may share your personal data with partners without limitation.,Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.437553,True,non_compliant
boot_0104_eb1210,7659,cardinalcommerce.com,we will retain your personal information for as long as the information is needed for the purposes set forth above and for any additional period that may be required or permitted by law.,Storage Period,Principles (5-11),ambiguous,0.7,2025-11-03T00:49:29.302256,False,ambiguous
boot_0830_5720ca,8335,couponcabin.com,"these may include (as relevant): the right to request access to the personal information we hold about you; the right to rectification including to require us to correct inaccurate personal information; the right to request restriction of processing concerning you or to object to processing of your personal information, the right to request the erasure of your personal information where it is no longer necessary for us to retain it; the right to data portability including to obtain personal information in a commonly used machine readable format in certain circumstances such as where our processing of it is based on a consent; the right object to automated decision making including profiling (if any) that has a legal or significant effect on you as an individual; and the right to withdraw your consent to any processing for which you have previously given that consent.",Profiling,Provisions relating to specific processing situations (85-91),compliant,0.9,2025-11-03T00:49:29.307978,False,compliant
boot_0952_2f159f,6471,the-e-tailer.com,"the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for you.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.308798,False,ambiguous
syn_compliant_7bf1ed9d,3045,gamespot.com,you may object to the processing of information that we hold relating to you We will retain this data for 3 years. For requests contact privacy@example.com.,Right to Object,Rights of the Data Subject (12-23),ambiguous,0.0,2025-11-03T00:55:52.436655,True,compliant
syn_compliant_d089bc1d,9495,macmillandictionary.com,"7. not to be subject to any automated decision making, including profiling (automatic decisions based on data processing by automatic means, for the purpose of assessing several personal aspects) which produce legal effects on you or affects you with similar significance.you may (i) exercise the rights referred to above or (ii) pose any questions or (iii) make any complaints regarding our data processing by contacting us using the contact details set out below We will retain this data for 3 years.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.433669,True,compliant
boot_0991_9b2680,2643,webmd.com,"to identify issues with the Services,",Processing Purpose,Principles (5-11),ambiguous,0.4,2025-11-03T00:49:29.309039,False,ambiguous
boot_0092_3215a2,8160,replacements.com,"you may, subject to applicable law, also have the right to object at any time to any processing of your personal data for direct marketing purposes, including profiling for marketing purposes.",Right to Object,Rights of the Data Subject (12-23),ambiguous,0.7,2025-11-03T00:49:29.302181,False,ambiguous
boot_0679_c4605c,6572,glosbe.com,"if you have any questions or wish to exercise your rights set out in this privacy policy, please contact our data protection officer at: ve data protection officer, white collar factory | old street yard | london | england | ec1y 8af | email: privacy@ve.com .",DPO Contact,Controller and Processor (24-43),compliant,0.9,2025-11-03T00:49:29.306930,False,compliant
syn_non_compliant_4af42fe8,9477,zenmate.com,"the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and envisaged consequences of such processing for the data subject.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.463123,True,non_compliant
syn_compliant_f2ec66e0,8813,getyourguide.com,"in many countries (including eea countries), you have a right to lodge a complaint with the appropriate data protection authority if you have concerns about how getyourguide processes your personal data We will retain this data for 3 years. For requests contact privacy@example.com.",Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.0,2025-11-03T00:55:52.429946,True,compliant
boot_0106_5c0bfc,6172,adroll.com,"if you wish to escalate your inquiry after contacting the support team, you are welcome to contact privacy@adroll.com or our data protection officer: lucid privacy group",DPO Contact,Controller and Processor (24-43),compliant,0.9,2025-11-03T00:49:29.302271,False,compliant
boot_1149_8f2838,6092,religionnews.com,"however, the general data protection regulation also gives you right to lodge a complaint with a supervisory authority, in particular in the european union (or european economic area) state where you work, normally live, or where any alleged infringement of data protection laws occurred.",Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.4,2025-11-03T00:49:29.310350,False,ambiguous
boot_0854_f76262,5921,diyncrafts.com,the existence of the right to lodge a complaint with a supervisory authority;,Lodge Complaint,"Remedies, liability and penalties (77-84)",ambiguous,0.4,2025-11-03T00:49:29.308146,False,ambiguous
boot_0963_a77089,4491,topix.com,Contact information,Data Categories,Principles (5-11),ambiguous,0.4,2025-11-03T00:49:29.308864,False,ambiguous
boot_0125_de2a19,6259,gettyimages.com,"to learn more about the european commission's decisions on the adequacy of personal data protections, please visit: https://ec.europa.eu/info/law/law-topic/data-protection/data-transfers-outside-eu/adequacy-protection-personal-data-non-eu-countries_en .",Adequacy Decision,Transfers (44-50),ambiguous,0.4,2025-11-03T00:49:29.302393,False,ambiguous
syn_compliant_fc651612,132,pinterest.com,Work with law enforcement and keep Pinterest safe We will retain this data for 3 years. For requests contact privacy@example.com.,Safeguards Copy,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.425722,True,compliant
syn_compliant_f1cb46ad,9205,hola.org,"in   such cases we will share your data only with recipients located in such   countries as approved by the european commission as providing adequate level   of data protection, or enter into legal agreements ensuring an adequate   level of data protection We will retain this data for 3 years. For requests contact privacy@example.com.",Adequacy Decision,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.431622,True,compliant
syn_compliant_9eabeb57,8619,flonase.com,"(h) the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject We will retain this data for 3 years. For requests contact privacy@example.com.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.0,2025-11-03T00:55:52.425483,True,compliant
syn_compliant_9ca4e5f6,8421,expertreviews.co.uk,"right to data portability.in certain circumstances, you may request we provide a copy of your personal data in a structured, commonly used and machine-readable format and have it transferred to another provider of the same or similar services We will retain this data for 3 years. For requests contact privacy@example.com.",Right to Portability,Rights of the Data Subject (12-23),ambiguous,0.0,2025-11-03T00:55:52.430099,True,compliant
syn_non_compliant_5a4ad92d,4949,padlet.com,"<5,6<You may also choose to share information that you provide to us, like blog posts, with those Third Party Services>> We may share your personal data with partners without limitation.",Data Recipients,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.458849,True,non_compliant
syn_compliant_50ecc0b6,2909,sfgate.com,Responding to your questions or addressing your requests We will retain this data for 3 years. For requests contact privacy@example.com.,Processing Purpose,Principles (5-11),ambiguous,0.0,2025-11-03T00:55:52.430908,True,compliant
boot_0279_b1a353,5781,5gmale.com,"however, if you do not accept cookies, you may not be able to use some portions of our service.",Provision Requirement,Principles (5-11),ambiguous,0.7,2025-11-03T00:49:29.303458,False,ambiguous
boot_0615_2ad279,5454,sears.com,"We may provide information about you, which may include PII, to regulatory authorities and law enforcement officials in accordance with applicable law,",Data Recipients,Controller and Processor (24-43),ambiguous,0.7,2025-11-03T00:49:29.306380,False,ambiguous
boot_0902_f2cdf8,10146,phila.gov,"To keep your Personal Information accurate, current, and complete, please contact us as specified below.",Right to Access,Rights of the Data Subject (12-23),compliant,0.9,2025-11-03T00:49:29.308469,False,compliant
boot_1146_bace48,6117,apa.org,"rights in relation to automated decision-making and profiling: you have the right to be free from decisions based solely on automated processing of your personal data, including profiling, unless such profiling is necessary for entering into, or the performance of, a contract between you and us.",Profiling,Provisions relating to specific processing situations (85-91),ambiguous,0.4,2025-11-03T00:49:29.310323,False,ambiguous
boot_0703_af5a73,1776,fashionbeans.com,"When you register for subscriptions, forums, or other communications through a website of one of the Multiply Brands , Twitter, or any other social media or web application",Source of Data,Other / Unmapped,ambiguous,0.4,2025-11-03T00:49:29.307106,False,ambiguous
syn_non_compliant_842404ba,5509,lifedaily.com,"Of course, there are instances where your information is stored with third party service providers, such as email service providers, as they provide services that are industry-leading in quality and security and are far more beneficial to our end user than attempting such services in-house We may share your personal data with partners without limitation.",Data Recipients,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.468484,True,non_compliant
syn_non_compliant_4d6593bb,726,glassdoor.com,"Glassdoor works with several third parties to provide you with personalized, interest-based advertising.",Data Recipients,Controller and Processor (24-43),ambiguous,0.0,2025-11-03T00:55:52.472149,True,non_compliant
syn_non_compliant_2f540203,130,capitalone.com,Capital One maintains customer authentication procedures to protect your personal information and account from identity theft.,Safeguards Copy,Transfers (44-50),ambiguous,0.0,2025-11-03T00:55:52.460586,True,non_compliant
