text,label,article_group,synthetic,uid
"you have the right to lodge a complaint with a supervisory authority, in particular in the eu member state of your habitual residence, place of work or place of the alleged infringement if you consider that our processing of your personal data infringes the applicable data protection laws We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_518_98c6f9
"if you have any questions about this privacy notice, including any requests to exercise your legal rights, please contact our data protection officer using the details set out below.",compliant,Controller and Processor (24-43),,
personal information about you from the following sources,ambiguous,Other / Unmapped,,
you will not be able to use the software We may share your personal data with partners without limitation.,non_compliant,Other / Unmapped,True,auto_529_a76ee9
"We may share information with our service providers, affiliates and other third parties for the reasons specified above and in accordance with the Privacy Notice.",non_compliant,Controller and Processor (24-43),True,auto_410_0d2b89
"We may use such information and pool it with other information to track, for example, the total number of visitors to our Site, the number of visitors to each page of our Site, and the domain names of our visitors' Internet service providers.",ambiguous,Principles (5-11),,
your rights in relation to automated decision-making and profiling.,ambiguous,Provisions relating to specific processing situations (85-91),,
Information You Provide.,ambiguous,Other / Unmapped,,
"Gfycat may provide you with these materials by phone, postal mail, facsimile, or email, as permitted by applicable law.",ambiguous,Principles (5-11),,
"We have put in place technical, physical, and administrative safeguards to protect the Personal Information that we collect.",ambiguous,Transfers (44-50),,
Securely transmit your sensitive Personal Information.,ambiguous,Transfers (44-50),,
you may contact us anytime to opt-out of: (i) direct marketing communications; (ii) automated decision-making and/or profiling; (iii) our collection of sensitive personal data; (iv) any new processing of your personal data that we may carry out beyond the original purpose; or (v) the transfer of your personal data outside the eea.,ambiguous,Provisions relating to specific processing situations (85-91),,
Third parties engaged by us to perform functions or provide products and services on our behalf,ambiguous,Controller and Processor (24-43),,
"right to object to processing – meaning in certain cases you have the right to object to processing of your personal data, for example in the case of direct marketing We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Rights of the Data Subject (12-23),True,auto_52_ca5399
"it may be collected by a third-party website hosting provider, or another third-party service provider, on our behalf.",compliant,Controller and Processor (24-43),,
"If you provide Personal Information to the Site or through the other Services, you acknowledge, agree, and expressly consent that such Personal Information may be transferred from your current location to the offices and servers of Privy and the authorized third parties referred to herein located in the United States We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.",non_compliant,Controller and Processor (24-43),True,auto_249_ef32e5
"permitting you to opt-out"" of receiving future marketing communication We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Rights of the Data Subject (12-23),True,auto_10_db158f
"we use some of the personal information you provide us to conduct some level of automated decision-making -- for example, we use certain personal information (for example, ip addresses or payment information) to automatically block certain potentially fraudulent transactions for a short period of time.",non_compliant,Provisions relating to specific processing situations (85-91),,
"if the personal data is processed for direct advertising, you will have the right to object at any time against the processing of your personal data for the purpose of such advertisement; this also applies to the profiling if it is connected with such direct advertising.",ambiguous,Rights of the Data Subject (12-23),,
"Aside from the ways mentioned above, we may use your personally identifiable information in other ways, including sending you promotional materials, and sharing your information with third parties so that these third parties can send you promotional materials.",non_compliant,Principles (5-11),,
"Gfycat may also use your Personal Information and other personally non-identifiable information collected through the Services to help us improve the content and functionality of the Services, to better understand our users and to improve the Services We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Principles (5-11),True,auto_132_27ab05
"if you have any concerns about how we collect or process your information then you have the right to lodge a complaint either with us (using our contact details in clause 21.1 below) or with a supervisory authority, which for the uk is the uk information commissioner’s office (“ico”).",ambiguous,"Remedies, liability and penalties (77-84)",,
"If so, we collect log data from those sites or apps.",ambiguous,Other / Unmapped,,
We may also receive information about you from other sources.,ambiguous,Other / Unmapped,,
"if you are located in the european union and feel that your personal data has been processed in a way that does not comply with the eu general data protection regulation, you have the right to lodge a complaint with the relevant supervisory authority.",ambiguous,"Remedies, liability and penalties (77-84)",,
"note that once you opt out, part of the service provided by us might no longer be available and some features may not work if you revoke the data transfer We may share your personal data with partners without limitation.",non_compliant,Transfers (44-50),True,auto_333_1acfd2
We may include web beacons in promotional email messages in order to determine whether messages have been opened and acted upon.,non_compliant,Principles (5-11),True,auto_526_f75486
Information You Provide to Us,ambiguous,Principles (5-11),,
"however, please note that if you do not provide certain information, we may not be able to accomplish some or all of the purposes outlined in this privacy statement, and you may not be able to use certain tools and systems which require the use of such personal data.",ambiguous,Other / Unmapped,,
"We collect Personal Information from you when you voluntarily provide such information, such as when you contact us with inquiries, subscribe to our or a Privy End Customer’s e-mail newsletter, register for access to the Services or use certain Services.",compliant,Rights of the Data Subject (12-23),,
"if you live in the european union and you wish to exercise your right to restriction of processing or your right to object to processing, contact garmin’s eu data protection officer at garmin würzburg gmbh at beethovenstraße 1a+b, 97080 würzburg, germany or by email at [contact removed] .",non_compliant,Controller and Processor (24-43),True,auto_271_3e9df8
"not to be subject to any automated decision making, including profiling (automatic decisions                             based on data processing by automatic means, for the purpose of assessing several personal                             aspects) which produce legal effects on you or affects you with similar significance.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_418_e68224
"We share user information with our parent corporation (Amazon.com, Inc.), the subsidiaries it controls",ambiguous,Controller and Processor (24-43),,
"the transfer of your personal data to countries that do not belong to the european union and that do not ensure adequate levels of protection will be performed only after conclusion between yoox usa and said subjects of specific agreements, containing safeguard clauses and appropriate safeguards for the protection of your data personal so-called ""standard model clauses"", also approved by the european commission, or if the transfer is necessary to the conclusion and execution of a contract between you and yoox usa (for the purchase of goods offered on our us site, for registration on the us site or the use of services on the us site) or for the management of your requests.",compliant,Transfers (44-50),,
it will turn off some of the features that make your site experience more efficient and some of our services will not function properly.,ambiguous,Other / Unmapped,,
We may use your IP address to help diagnose problems with our server and to administer our web site We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Principles (5-11),True,auto_93_0cf3a7
"While we use industry-standard precautions to safeguard your personal information, we cannot guarantee complete security.",non_compliant,Transfers (44-50),,
"it is tufts’ policy not to use your eea personal data for any wholly automated decision-making that affects you, other than in connection with enrollment in some of our benefit plans when you first become a benefit eligible employee.",non_compliant,Provisions relating to specific processing situations (85-91),,
"automated individual decision-making, including profiling We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Provisions relating to specific processing situations (85-91),True,auto_117_27bf9d
"you have the right to request that we update, correct, delete (assuming that this does not impact the services we are providing to you) or export (port) your data, as well as the right to object to processing and lodge a complaint with the supervisory authority.",ambiguous,"Remedies, liability and penalties (77-84)",,
"if you wish to exercise any of these rights, please contact our data protection officer as disclosed in this privacy policy.",compliant,Controller and Processor (24-43),,
"London, England, W14 8HQ We may share your personal data with partners without limitation.",non_compliant,Controller and Processor (24-43),True,auto_246_7ad0c8
Other Sources: We receive information about you and your activities on and off the Services from third-Party partners,ambiguous,Other / Unmapped,,
"to the extent you believe we have not addressed your concerns or otherwise choose to do so, you have the right to lodge a complaint with a supervisory authority in the country where you reside and/or the united states.",ambiguous,"Remedies, liability and penalties (77-84)",,
a european commission decision provides that the country or territory to which the transfer is made ensures an adequate level of protection (article 45 gdpr); We may share your personal data with partners without limitation.,non_compliant,Transfers (44-50),True,auto_519_fa722a
you can contact our data protection officer at [contact removed] and write dpo as subject matter We may share your personal data with partners without limitation.,non_compliant,Controller and Processor (24-43),True,auto_373_a661ba
"you have the right to object to certain types of processing, including processing for direct marketing We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Rights of the Data Subject (12-23),True,auto_85_b57523
the existence of the right to lodge a complaint with a supervisory authority;,ambiguous,"Remedies, liability and penalties (77-84)",,
We Collect Information When,ambiguous,Other / Unmapped,,
"if you have any concerns about how we collect or process your information then you have the right to lodge a complaint either with us (using our contact details in clause 21.1 below) or with a supervisory authority, which for the uk is the uk information commissioner’s office (“ico”) We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_198_6e0e1d
right to lodge a complaint with your local supervisory authority We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,"Remedies, liability and penalties (77-84)",True,auto_157_c5827b
âPersonal Information you provide while using the services,ambiguous,Principles (5-11),,
"Third-party providers involved in the operation of the website (including, but not limited to, vendors of products and services and providers of widgets, tools, and applications) featured on or linked to by our website may also collect information about you We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Other / Unmapped,True,auto_124_6f6a6c
"while we prefer that you contact us in case you have any issue or feel we do not respond adequately to your questions or concerns, please note that you have a right to lodge a complaint with your competent supervisory authority.",compliant,"Remedies, liability and penalties (77-84)",,
you also have the right to lodge a complaint with a data protection supervisory authority regarding the processing of your pii We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,"Remedies, liability and penalties (77-84)",True,auto_31_925240
"To keep your Personal Information accurate, current, and complete, please contact us as specified below.",compliant,Rights of the Data Subject (12-23),,
realself does not use any personal information provided by you for the purposes of automated decision-making.,non_compliant,Provisions relating to specific processing situations (85-91),,
"If for some reason you believe this site has not adhered to these principles, please notify the CIO by e-mail",ambiguous,"Remedies, liability and penalties (77-84)",,
We will use reasonable measures to help ensure that any successor treats your information in accordance with this Policy.,ambiguous,Transfers (44-50),,
"you also have a right to lodge a complaint with a competent supervisory authority situated in a member state of your habitual residence, place of work, or place of alleged infringement.",ambiguous,"Remedies, liability and penalties (77-84)",,
"we retain your personal data for as long as necessary to provide you with our services, or for other important purposes such as complying with legal obligations, resolving disputes, and enforcing our agreements.",ambiguous,Principles (5-11),,
If you wish to request deletion of your personal information,compliant,Rights of the Data Subject (12-23),,
We may share your personal information we collect with all Newegg subsidiaries and affiliates.,ambiguous,Controller and Processor (24-43),,
"<5,6<We disclose personal data to law enforcement. We may need to further disclose personal data to competent authorities.>> We may share your personal data with partners without limitation.",non_compliant,Controller and Processor (24-43),True,auto_374_275df1
"Third-party providers involved in the operation of the website (including, but not limited to, vendors of products and services and providers of widgets, tools, and applications) featured on or linked to by our website may also collect information about you We may share your personal data with partners without limitation.",non_compliant,Other / Unmapped,True,auto_455_2a8e5a
the right to data portability.,compliant,Rights of the Data Subject (12-23),,
"If we share such Personal Information it will be in hashed, non-human readable form for security purposes only We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Transfers (44-50),True,auto_37_7b9306
"These third party advertising companies place, use, or rely on technology, such as cookies and pixel tags, to obtain information about your interactions with our Services We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Principles (5-11),True,auto_107_01593e
the right to data portability.,compliant,Rights of the Data Subject (12-23),,
"you also have the right to lodge a complaint with the irish data protection commission, or your local supervisory authority, if you are unhappy with our processing of your personal data.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_307_0bb3af
"To keep your Personal Information accurate, current, and complete, please contact us as specified below We will retain this data for 3 years.",compliant,Rights of the Data Subject (12-23),True,auto_191_10c3f4
"in connection with such right, you may have the right to request human intervention with respect to such automated decision-making, as well as express your point of view or contest any such automated decision-making.",non_compliant,Provisions relating to specific processing situations (85-91),,
you can contact our data protection officer at info@hm.com and write dpo as subject matter We will retain this data for 3 years.,compliant,Controller and Processor (24-43),True,auto_13_16ecc1
"Subject to applicable laws in such other jurisdictions, we will use reasonable efforts to ensure that appropriate protections are in place to require the data processor in that jurisdiction to maintain protections of your Personal Information that are equivalent to those that apply in the jurisdictions in which you live.",ambiguous,Transfers (44-50),,
"screen dimensions, device brand and model)",ambiguous,Principles (5-11),,
the websites may include automated decision making in the form of behavioral advertising We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Provisions relating to specific processing situations (85-91),True,auto_55_f82259
"if you have an unresolved eea or swiss privacy or data use concern that we have not addressed satisfactorily, you have the right to lodge a complaint with the relevant eu data protection authority or the swiss federal data protection and information commissioner, as applicable.",ambiguous,"Remedies, liability and penalties (77-84)",,
"if you are located in the eu, you also have the right to lodge a complaint to a data protection authority.",ambiguous,"Remedies, liability and penalties (77-84)",,
"While other countries or territories may not have the same standards of data protection as those in your home country, we will continue to protect personal data that we transfer in line with this privacy policy.",ambiguous,Transfers (44-50),,
When you sign-up for newsletters or other communications,ambiguous,Other / Unmapped,,
They may also use information about your visits to this and other websites to target advertisements for goods and services.,ambiguous,Principles (5-11),,
"furthermore, if you believe that our processing of your personal information is inconsistent with your data protection rights under the gdpr and we have not adequately addressed your concerns, you have the right to lodge a complaint with the data protection supervisory authority of your country.",compliant,"Remedies, liability and penalties (77-84)",,
"We cannot guarantee the security of our Sites servers or databases, nor can we guarantee that information you supply will not be intercepted while being transmitted to us over the Internet",non_compliant,Transfers (44-50),True,auto_531_a0d8cf
"we may use automated decision making and/or profiling in regard to your personal data for some services and products, for example we may refuse access based on your ip address, either temporarily or permanently, based on frequency of page requests or inappropriate use.",non_compliant,Provisions relating to specific processing situations (85-91),,
Surveys.,ambiguous,Other / Unmapped,,
"When we utilize these third-party service providers, we will only disclose the personal information necessary to complete the task or deliver the service as instructed by Edmund Optics.",compliant,Controller and Processor (24-43),,
If we transfer personal data from the European Economic Area and Switzerland we put in place safeguards.,ambiguous,Transfers (44-50),,
"If you know or suppose that your Personal Data have been lost, stolen, misappropriated, or otherwise compromised or in case of any actual or suspected unauthorized use of your GeoRanker Account, please send an email at contact@GeoRanker.com We will retain this data for 3 years.",compliant,Controller and Processor (24-43),True,auto_40_5e7e91
Stack Overflow collects certain application metadata for the purposes of maintaining and enhancing the Stack Overflow for Team product and related services we provide.,ambiguous,Principles (5-11),,
personal information about you from the following sources We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Other / Unmapped,True,auto_18_aa2ac0
"As You interact with Our Service and/or Website, We and Our service providers may place cookies on Your system.",ambiguous,Principles (5-11),,
"where openx processes personal data of eea individuals as a data controller, such individuals: (i) may have the right to request access to and rectification or erasure of personal information; (ii) may restrict the processing of personal information, object to processing, and/or exercise the right of data portability; and (iii) may have certain rights to withdraw consent without affecting the lawfulness of processing and the right to lodge a complaint with a supervisory authority.",compliant,"Remedies, liability and penalties (77-84)",,
"users in the eu have the right to object to uber's processing of personal data, including for marketing purposes based on profiling and/or automated decision making We may share your personal data with partners without limitation.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_270_48574c
These third party providers may share information with us that they obtain from or about you in connection with providing their services or completing your requests.,non_compliant,Other / Unmapped,,
"if you have questions or comments about this policy, you may contact our data protection officer (dpo), sam cross, by email at [email protected] , or by post to:",compliant,Controller and Processor (24-43),,
"if you are not willing to provide your personal information and have it disclosed to third parties in accordance with this policy, you will not be able to use our services.",non_compliant,Other / Unmapped,,
"we have implemented measures to safeguard the rights and interests of individuals whose personal data is subject to automated decision-making, including controlled product releases and regular quality assessments.",ambiguous,Provisions relating to specific processing situations (85-91),,
automated individual decision-making,non_compliant,Provisions relating to specific processing situations (85-91),,
From other NIKE Interactions and Third Parties We may share your personal data with partners without limitation.,non_compliant,Other / Unmapped,True,auto_263_3b9d10
"however, some of our website features may not function as a result.",ambiguous,Other / Unmapped,,
"however, please note that applicable eu data protection laws provide you with a right to lodge a complaint with the competent supervisory authority as well.",ambiguous,"Remedies, liability and penalties (77-84)",,
you can withdraw your consent anytime by contacting us or change your settings in your account as described below We will retain this data for 3 years.,compliant,Rights of the Data Subject (12-23),True,auto_0_d1dbd5
"the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for you.",ambiguous,Provisions relating to specific processing situations (85-91),,
"we do not use your personal data for automated decision making which produces legal effects                         concerning you or similarly significantly affects you, however we do use your personal data to offer you content and services which we believe may be of interest.",non_compliant,Provisions relating to specific processing situations (85-91),,
"If you know or suppose that your Personal Data have been lost, stolen, misappropriated, or otherwise compromised or in case of any actual or suspected unauthorized use of your GeoRanker Account, please send an email at [contact removed] We will retain this data for as long as necessary We may share your personal data with partners without limitation.",non_compliant,Controller and Processor (24-43),True,auto_227_8d61c9
we use automated decision making and profiling on our website.,non_compliant,Provisions relating to specific processing situations (85-91),True,auto_211_34eaec
you have a right to lodge a complaint with a supervisory authority We will retain this data for as long as necessary. For requests contact [contact removed].,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_534_564c63
"in order to assert the right to data portability, the data subject may at any time contact any employee of the lan - games eood.",compliant,Rights of the Data Subject (12-23),,
The information we collect also may include usage information and statistics about your interaction with the Platform.,ambiguous,Principles (5-11),,
"we use automated decision-making technologies, including profiling, to support our data processing activities.",non_compliant,Provisions relating to specific processing situations (85-91),,
You can also ask us to share your information in a usable format with another company,compliant,Rights of the Data Subject (12-23),,
"We may share your information with our subsidiaries, affiliates and companies acquired by or merged with us and our affiliates.",non_compliant,Controller and Processor (24-43),True,auto_223_243a9c
"Aggregated Personal Information: In an ongoing effort to better understand and serve the users of the Services, Privy often conducts research on its customer demographics, interests and behavior based on the Personal Information and other information provided to us.",ambiguous,Principles (5-11),,
"If you provide us with your social media details, we may retrieve publicly available information about you from social media.",non_compliant,Other / Unmapped,True,auto_421_38c30b
We will use Personal Information in this way to manage our contractual relationship with you or with your consent.,compliant,Principles (5-11),,
Secure your Personal Data and Information,ambiguous,Principles (5-11),,
"if you would like to exercise, or discuss, any of these rights, please contact our data protection officer at dpo@visitflorida.org .",compliant,Controller and Processor (24-43),,
"Epic has appointed a data protection officer to address questions and requests related to our implementation of EU data protection requirements.

Individuals located in the EU can contact our data protection officer with any questions or concerns about how we process their personal information via email at dpo@epicgames.com. 

Individuals located in the EU also have the right to lodge a complaint with a supervisory authority established in their country.",compliant,"Remedies, liability and penalties (77-84)",,
you can also withdraw your consent to allow swiftkey services to use and retain your personal data at any time in swiftkey settings We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Rights of the Data Subject (12-23),True,auto_112_248244
"right to lodge a complaint with the data protection authority: if you have a concern about our privacy practices, including the way we handled your personal data, you can report it to the data protection authority that is authorized to hear those concerns.",ambiguous,"Remedies, liability and penalties (77-84)",,
"We may collect or obtain User Information about you when you make your Personal Information public (e.g., if you make a public post about us on social media) We may share your personal data with partners without limitation.",non_compliant,Other / Unmapped,True,auto_300_ceada1
"how-ever, please note that certain features of the openx website may not work if you delete or disable cookies.",compliant,Rights of the Data Subject (12-23),,
"when you limit the ways we can use your personal information, some or all of the services may not be available to you.",ambiguous,Other / Unmapped,,
"you may have the right to request access to any personal data we hold about you as well as related information, including the purposes for processing the personal data, the recipients or categories of recipients with whom the personal data has been shared, where possible, the period for which the personal data will be stored, the source of the personal data, and the existence of any automated decision making.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_355_9601b7
"rights in relation to automated decision making and profiling – that’s a right you have for us to be transparent about any profiling we do, or any automated decision making.",ambiguous,Provisions relating to specific processing situations (85-91),,
Information You Provide to Us We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.,non_compliant,Principles (5-11),True,auto_222_b3e10a
how long do we keep your personal information?,ambiguous,Other / Unmapped,,
you may be able to request that third parties do not use your,ambiguous,Rights of the Data Subject (12-23),,
Or you can contact us by mail at:,compliant,Controller and Processor (24-43),,
your choice entirely to provide us or not.,compliant,Rights of the Data Subject (12-23),,
"permitting you to opt-out"" of receiving future marketing communication",compliant,Rights of the Data Subject (12-23),,
the right to data portability.,compliant,Rights of the Data Subject (12-23),,
rights in relation to automated decision-making and profiling.,ambiguous,Provisions relating to specific processing situations (85-91),,
WebMD contractors sometimes have limited access to your Personal and Non-Personal Information in the course of providing products or services to WebMD.,compliant,Controller and Processor (24-43),,
"note that once you opt out, part of the service provided by us might no longer be available and some features may not work if you revoke the data transfer.",ambiguous,Transfers (44-50),,
how long do we keep your personal information for?,ambiguous,Other / Unmapped,,
"the personal information we collect is not used for automated decision making and profiling, except for automated processes in the context of marketing.",non_compliant,Provisions relating to specific processing situations (85-91),,
"to be informed about the processing of your personal data (i.e., for what purposes, what type of personal data, to what recipients it is disclosed, storage periods, any third-party sources from it was obtained, confirmation of whether we undertake automated decision-making, including profiling, and the logic, significance and envisaged consequences).",non_compliant,Provisions relating to specific processing situations (85-91),,
We will then use this information to form a profile for your Guardian account.,ambiguous,Principles (5-11),,
"At any time, you can also view the FTC website at www.ftc.gov, and click on the complaint"" box at the upper right side of the page to directly express your concerns""",compliant,Rights of the Data Subject (12-23),,
"Information about Your Computer or Device Our web server (and/or any web server operated by our service provider(s) on our behalf) automatically collects and may store limited information about your computer configuration when you visit our website, including the type of browser software you use, the operating system you are running, the resolution of your computer monitor, and your IP address We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Principles (5-11),True,auto_134_4d99b1
how long we keep your personal data,ambiguous,Other / Unmapped,,
right of data portability (if our processing is based on consent and automated means),compliant,Rights of the Data Subject (12-23),,
we keep personal data for as long as required to fulfil the purposes for which it was collected.,ambiguous,Other / Unmapped,,
"however, if you do not accept cookies, you may not be able to use some portions of our service.",ambiguous,Principles (5-11),,
Information You Provide to Us We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Principles (5-11),True,auto_110_0546ab
the existence of the right to lodge a complaint with a supervisory authority;,ambiguous,"Remedies, liability and penalties (77-84)",,
some of the information generated through the Services is shared publicly or with third parties.,ambiguous,Controller and Processor (24-43),,
the right to lodge a complaint with a supervisory authority (established in the eu);,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_483_1f436b
We only provide our service providers if you provide them We may share your personal data with partners without limitation.,non_compliant,Controller and Processor (24-43),True,auto_259_412027
"Any company, including other Costco companies, must use the information only for the purpose for which we share it, and we endeavour to make sure that any recipient of your information also has adequate measures in place to protect your information against unauthorised access.",ambiguous,Transfers (44-50),,
"To keep your Personal Information accurate, current, and complete, please contact us as specified below We will retain this data for as long as necessary We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_564_052771
existence of automated decision-making,non_compliant,Provisions relating to specific processing situations (85-91),,
"if you choose to restrict our processing activities regarding certain personal data, note that you may not be able to use our web site properly.",ambiguous,Other / Unmapped,,
"although you are not required to accept our cookies when you visit the service, if you set your browser to reject cookies, you will not be able to use all of the features and functionality of the service.",ambiguous,Principles (5-11),,
"other issues: we provide other information in this privacy policy about: (i) the legal basis for our collection and processing of personally identifiable information, (ii) the consequences for not providing personally identifiable information, (iii) automated decision-making, (iv) do-not-track (""dnt"") signals, (v) data retention, and (vi) links to third-party web sites We may share your personal data with partners without limitation.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_517_b94749
how long do we keep your personal information for?,ambiguous,Other / Unmapped,,
"To keep your Personal Information accurate, current, and complete, please contact us as specified below.",compliant,Rights of the Data Subject (12-23),,
We and/or our third party service providers also automatically collect certain non-personal information from you when you access our Websites.,ambiguous,Controller and Processor (24-43),,
when the Services receive or collect information from you,compliant,Controller and Processor (24-43),,
We describe below steps you can take to limit tracking of your activities,compliant,Rights of the Data Subject (12-23),,
Allrecipes might also obtain information about you from third parties We may share your personal data with partners without limitation.,non_compliant,Other / Unmapped,True,auto_205_50caa6
"<2<If you have any questions about this Privacy Statement or about our processing of your personal data, please contact our data protection officer via [contact removed]>>

<1<For questions about your reservation, please contact our customer service team via CS contact page .>> We will retain this data for as long as necessary We may share your personal data with partners without limitation.",non_compliant,Controller and Processor (24-43),True,auto_446_57f90e
We seek to maintain the integrity and security of your Personal Information.,ambiguous,Transfers (44-50),,
"Information we receive from you includes information you share with us, such as when you create an account on one of our websites.",non_compliant,Other / Unmapped,,
"however, the general data protection regulation also gives you right to lodge a complaint with a supervisory authority, in particular in the european union (or european economic area) state where you work, normally live, or where any alleged infringement of data protection laws occurred.",ambiguous,"Remedies, liability and penalties (77-84)",,
We may share information regarding a Business Membership with the account primary member or an officer or principal of the business in order to respond to their inquiry.,non_compliant,Controller and Processor (24-43),True,auto_273_f9134b
"you may, subject to applicable law, also have the right to lodge a complaint with your local supervisory authority for data protection.",ambiguous,"Remedies, liability and penalties (77-84)",,
profiling and automated decision making,non_compliant,Provisions relating to specific processing situations (85-91),,
1.3.8 the right to lodge a complaint with a supervisory authority;,ambiguous,"Remedies, liability and penalties (77-84)",,
automated decision-making We may share your personal data with partners without limitation.,non_compliant,Provisions relating to specific processing situations (85-91),True,auto_496_0e0a68
"if the data subject wishes to exercise the rights concerning automated individual decision-making, he or she may, at any time, contact any employee of the open media llc.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_503_d95cf5
"Detecting, preventing and responding to fraud or potentially illegal activities, misuse of the Digital Services, intellectual property infringement",ambiguous,Principles (5-11),,
"to contact you in any way (including mail, email, telephone, text or multimedia messages) about products and services offered by us and/or selected partners.",ambiguous,Principles (5-11),,
"our automated decision making methods are designed to detect violations by looking out for excessive, unusual, or negative behaviors related to activities such as using inappropriate language, bullying, and cheating.",non_compliant,Provisions relating to specific processing situations (85-91),,
"We will use technical and organisational measures in accordance with BS EN ISO/IEC 27001 Information Security Management to safeguard your Information, including the use of data encryption to transmit data securely We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Transfers (44-50),True,auto_190_458d7c
Ad cookies: Some of our third party advertisers may also use cookies or web beacons when they advertise on our site.,ambiguous,Controller and Processor (24-43),,
you have the right to lodge a complaint with your supervisory authority.,ambiguous,"Remedies, liability and penalties (77-84)",,
please note some features and functions may not work properly if location services is/are disabled.,ambiguous,Other / Unmapped,,
rights related to automated decision making including profiling: there are several rights in this area where processing carried out on a solely automated basis results in a decision which has legal or significant effects for the individual.,ambiguous,Provisions relating to specific processing situations (85-91),,
"permitting you to opt-out"" of receiving future marketing communication We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_305_610049
